city,product_name,units_in_stock,quantity,discount,category_name,yearquarter,label,unit_price_winsorized,total_price_winsorized
Reims,Queso Cabrales,22,12,0.0,Dairy Products,1996 Q3,0,14.0,168.0
Reims,Singaporean Hokkien Fried Mee,26,10,0.0,Grains/Cereals,1996 Q3,0,9.8,98.0
Reims,Mozzarella di Giovanni,14,5,0.0,Dairy Products,1996 Q3,0,34.8,174.0
Münster,Tofu,35,9,0.0,Produce,1996 Q3,0,18.6,167.4
Münster,Manjimup Dried Apples,20,40,0.0,Produce,1996 Q3,0,42.4,1696.0
Rio de Janeiro,Jack's New England Clam Chowder,85,10,0.0,Seafood,1996 Q3,0,7.7,77.0
Rio de Janeiro,Manjimup Dried Apples,20,35,0.15,Produce,1996 Q3,1,42.4,1261.3999999999999
Rio de Janeiro,Louisiana Fiery Hot Pepper Sauce,76,15,0.15,Condiments,1996 Q3,1,16.8,214.2
Lyon,Gustaf's Knäckebröd,104,6,0.05,Grains/Cereals,1996 Q3,1,16.8,95.76
Lyon,Ravioli Angelo,36,15,0.05,Grains/Cereals,1996 Q3,1,15.6,222.29999999999998
Lyon,Louisiana Fiery Hot Pepper Sauce,76,20,0.0,Condiments,1996 Q3,1,16.8,336.0
Charleroi,Sir Rodney's Marmalade,40,40,0.05,Confections,1996 Q3,1,55.0,1800.0
Charleroi,Geitost,112,25,0.05,Dairy Products,1996 Q3,1,5.9,47.5
Charleroi,Camembert Pierrot,19,40,0.0,Dairy Products,1996 Q3,0,27.2,1088.0
Rio de Janeiro,Gorgonzola Telino,0,20,0.0,Dairy Products,1996 Q3,1,10.0,200.0
Rio de Janeiro,Chartreuse verte,69,42,0.0,Beverages,1996 Q3,0,14.4,604.8000000000001
Rio de Janeiro,Maxilaku,10,40,0.0,Confections,1996 Q3,1,16.0,640.0
Bern,Guaraná Fantástica,20,15,0.15,Beverages,1996 Q3,1,5.9,45.9
Bern,Pâté chinois,115,21,0.15,Meat/Poultry,1996 Q3,1,19.2,342.71999999999997
Bern,Longlife Tofu,4,21,0.0,Produce,1996 Q3,1,8.0,168.0
Genève,Chang,17,20,0.0,Beverages,1996 Q3,0,15.2,304.0
Genève,Pavlova,29,35,0.0,Confections,1996 Q3,0,13.9,486.5
Genève,Inlagd Sill,112,25,0.0,Seafood,1996 Q3,1,15.2,380.0
Genève,Raclette Courdavault,79,30,0.0,Dairy Products,1996 Q3,0,44.0,1320.0
Resende,Perth Pasties,0,15,0.0,Meat/Poultry,1996 Q3,1,26.2,393.0
Resende,Original Frankfurter grüne Soße,32,12,0.0,Condiments,1996 Q3,1,10.4,124.80000000000001
San Cristóbal,Schoggi Schokolade,49,25,0.0,Confections,1996 Q3,0,35.1,877.5
San Cristóbal,Chartreuse verte,69,6,0.0,Beverages,1996 Q3,0,14.4,86.4
San Cristóbal,Original Frankfurter grüne Soße,32,15,0.0,Condiments,1996 Q3,1,10.4,156.0
Graz,Chang,17,50,0.2,Beverages,1996 Q3,1,15.2,608.0
Graz,Chef Anton's Gumbo Mix,0,65,0.2,Condiments,1996 Q3,1,17.0,884.0
Graz,Mascarpone Fabioli,9,6,0.2,Dairy Products,1996 Q3,1,25.6,122.88000000000002
México D.F.,Sir Rodney's Scones,3,10,0.0,Confections,1996 Q3,0,8.0,80.0
México D.F.,Gravad lax,11,1,0.0,Seafood,1996 Q3,1,20.8,38.6
Köln,Jack's New England Clam Chowder,85,16,0.25,Seafood,1996 Q3,1,7.7,92.4
Köln,Ravioli Angelo,36,50,0.0,Grains/Cereals,1996 Q3,1,15.6,780.0
Köln,Tarte au sucre,17,15,0.25,Confections,1996 Q3,1,39.4,443.25
Köln,Outback Lager,15,21,0.25,Beverages,1996 Q3,1,12.0,189.0
Rio de Janeiro,Sir Rodney's Scones,3,20,0.0,Confections,1996 Q3,0,8.0,160.0
Rio de Janeiro,Steeleye Stout,20,20,0.0,Beverages,1996 Q3,0,14.4,288.0
Albuquerque,Chef Anton's Gumbo Mix,0,12,0.2,Condiments,1996 Q3,1,17.0,163.20000000000002
Albuquerque,Uncle Bob's Organic Dried Pears,15,15,0.0,Produce,1996 Q3,1,24.0,360.0
Albuquerque,Gnocchi di nonna Alice,21,2,0.0,Grains/Cereals,1996 Q3,1,30.4,60.8
Graz,Pavlova,29,60,0.25,Confections,1996 Q3,1,13.9,625.5
Graz,Guaraná Fantástica,20,28,0.0,Beverages,1996 Q3,0,5.9,100.8
Graz,Nord-Ost Matjeshering,10,60,0.25,Seafood,1996 Q3,1,20.7,931.5
Graz,Longlife Tofu,4,36,0.25,Produce,1996 Q3,1,8.0,216.0
Bräcke,Chang,17,35,0.0,Beverages,1996 Q3,0,15.2,532.0
Bräcke,Jack's New England Clam Chowder,85,25,0.15,Seafood,1996 Q3,1,7.7,163.625
