order_date,customer_id,city,product_id,product_name,units_in_stock,unit_price,quantity,discount,category_id,category_name,expected_quantity
1996-07-04,VINET,Reims,11,Queso Cabrales,22,14.0,12,0.0,4,Dairy Products,12.727062225341797
1996-07-04,VINET,Reims,42,Singaporean Hokkien Fried Mee,26,9.8,10,0.0,5,Grains/Cereals,10.324593544006348
1996-07-04,VINET,Reims,72,Mozzarella di Giovanni,14,34.8,5,0.0,4,Dairy Products,5.35935115814209
1996-07-05,TOMSP,Münster,14,Tofu,35,18.6,9,0.0,7,Produce,9.8091402053833
1996-07-05,TOMSP,Münster,51,Manjimup Dried Apples,20,42.4,40,0.0,7,Produce,40.05326843261719
1996-07-08,HANAR,Rio de Janeiro,41,Jack's New England Clam Chowder,85,7.7,10,0.0,8,Seafood,12.337333679199219
1996-07-08,HANAR,Rio de Janeiro,51,Manjimup Dried Apples,20,42.4,35,0.15,7,Produce,27.80047607421875
1996-07-08,HANAR,Rio de Janeiro,65,Louisiana Fiery Hot Pepper Sauce,76,16.8,15,0.15,2,Condiments,11.463088035583496
1996-07-08,VICTE,Lyon,22,Gustaf's Knäckebröd,104,16.8,6,0.05,5,Grains/Cereals,5.458714485168457
1996-07-08,VICTE,Lyon,57,Ravioli Angelo,36,15.6,15,0.05,5,Grains/Cereals,14.029451370239258
1996-07-08,VICTE,Lyon,65,Louisiana Fiery Hot Pepper Sauce,76,16.8,20,0.0,2,Condiments,19.9250431060791
1996-07-09,SUPRD,Charleroi,20,Sir Rodney's Marmalade,40,64.8,40,0.05,3,Confections,38.421539306640625
1996-07-09,SUPRD,Charleroi,33,Geitost,112,2.0,25,0.05,4,Dairy Products,19.321693420410156
1996-07-09,SUPRD,Charleroi,60,Camembert Pierrot,19,27.2,40,0.0,4,Dairy Products,40.996089935302734
1996-07-10,HANAR,Rio de Janeiro,31,Gorgonzola Telino,0,10.0,20,0.0,4,Dairy Products,17.88243865966797
1996-07-10,HANAR,Rio de Janeiro,39,Chartreuse verte,69,14.4,42,0.0,1,Beverages,42.02779769897461
1996-07-10,HANAR,Rio de Janeiro,49,Maxilaku,10,16.0,40,0.0,3,Confections,39.29334259033203
1996-07-11,CHOPS,Bern,24,Guaraná Fantástica,20,3.6,15,0.15,1,Beverages,10.975833892822266
1996-07-11,CHOPS,Bern,55,Pâté chinois,115,19.2,21,0.15,6,Meat/Poultry,17.07377052307129
1996-07-11,CHOPS,Bern,74,Longlife Tofu,4,8.0,21,0.0,7,Produce,20.49208641052246
1996-07-12,RICSU,Genève,2,Chang,17,15.2,20,0.0,1,Beverages,20.16890525817871
1996-07-12,RICSU,Genève,16,Pavlova,29,13.9,35,0.0,3,Confections,35.69760513305664
